CUIT;N° Ader;Razon Social;N° Certificado;Norma;Fecha Percepcion;Tipo Comprobante;N° Comprobante;Fecha Comprobante;Monto Percibido;Base Calculo
30500006613;1334;BANCO PATAGONIA SA;0;29;08/01/2020;X;1192020000003890;08/01/2020;45;1500
30500006613;1334;BANCO PATAGONIA SA;0;29;31/01/2020;X;1192020000019880;31/01/2020;36;1200
30500037217;1136;ALLIANZ ARGENTINA COMPAÑIA DE SEGUROS SA;0;29;22/01/2020;X;202100340019;22/01/2020;50.02;1667.33
30505459179;11514;SURIANO SA;0;29;14/01/2020;F;A25  15935;14/01/2020;51.32;1710.74
30516186670;4309;DEHEZA SAICF  E I;0;29;08/01/2020;F;A0   119200048026;08/01/2020;105.95;3531.67
30537882871;11771;EL JUMILLANO SA;0;29;13/01/2020;F;A0   10500598065;13/01/2020;12.15;404.96
30537882871;11771;EL JUMILLANO SA;0;29;27/01/2020;F;A0   10500607779;27/01/2020;12.15;404.96
30541849307;11817;DIETRICH SA;0;29;24/01/2020;F;A0   59000000001739;24/01/2020;629.68;20989.25
30571421352;1313;BANCO CREDICOOP COOPERATIVO LTDO;0;29;31/01/2020;X;51830260366531;31/01/2020;21.42;714
30571421352;1313;BANCO CREDICOOP COOPERATIVO LTDO;0;29;31/01/2020;X;51820260366531;31/01/2020;36;1200
30620177497;7627;POSNET SOCIEDAD DE RESONSABILIDAD LIMITADA;0;29;31/01/2020;F;A0   608032897;31/01/2020;29.02;967.33
30639453738;7492;TELECOM ARGENTINA S.A.;0;29;19/01/2020;F;A0   834003641051;19/01/2020;80.79;2693
30639453975;7349;TELEFONICA DE ARGENTINA SA;0;29;23/01/2020;F;A0   943000000053467;23/01/2020;10.54;351.33
30639453975;7349;TELEFONICA DE ARGENTINA SA;0;29;28/01/2020;F;A0   948000000044684;28/01/2020;52.57;1752.33
30678814357;7348;TELEFONICA MOVILES ARGENTINA SA;0;29;21/01/2020;F;A0   305100024020;21/01/2020;32.84;1094.67
30687310434;7023;INC SA;0;29;30/01/2020;F;B0   17800274460;30/01/2020;133.52;4450.67
30687310434;7023;INC SA;0;29;10/01/2020;F;A0   537500000361;10/01/2020;51.35;1711.67
30687310434;7023;INC SA;0;29;30/01/2020;F;A0   537500000374;30/01/2020;2.95;98.33
30696850972;10322;CPS COMUNICACIONES SA;0;29;31/01/2020;F;A0   2000020169;31/01/2020;29.36;978.7
30701307115;13845;DESPEGAR COM AR SA;0;29;25/01/2020;F;A0   10300471827;25/01/2020;161.43;5381
30703088534;9214;MERCADOLIBRE S.R.L.;0;29;07/01/2020;X;5052481019;07/01/2020;5.94;198
30703088534;9214;MERCADOLIBRE S.R.L.;0;23;14/01/2020;X;5052481019;14/01/2020;113.94;3798
30709776564;10615;PROSEGUR ACTIVA ARGENTINA SA;0;29;08/01/2020;F;A0   1201196047;08/01/2020;47.4;1579.84
